frames.IntroPage	private boolean importXMLFile() 	userInterface	B2	0/10
frames.KnownDecisionVariablesSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B1	0/8
frames.KnownDecisionVariablesSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B2	0/6
frames.KnownDecisionVariablesSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B3	0/5
frames.KnownDecisionVariablesSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B4	0/3
frames.KnownOptimizationCriteriaSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B1	0/8
frames.KnownOptimizationCriteriaSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B2	0/6
frames.KnownOptimizationCriteriaSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B3	0/5
frames.KnownOptimizationCriteriaSolutionsPage	protected boolean areAllDataWellFilled() 	tmp	B4	0/3
jMetal.JMetalRun	public void run() 	jMetalProblem	B1	0/6
utils.AdminFileUtils	private static ArrayList<objects.QABlock> getFAQSection(org.w3c.dom.Document) 	qaBlock	B3	0/5
utils.FileReader	private static void readFileInRunPerspective(java.io.File) 	parsedVariablesValues	B3	0/5
utils.FileReader	private static void readFileInRunPerspective(java.io.File) 	parsedVariablesValues	B4	0/2
utils.FileReader	private static void readFileInVariablePerspective(java.io.File) 	parsedVariablesValues	B3	0/5
utils.FileReader	private static void readFileInVariablePerspective(java.io.File) 	parsedVariablesValues	B4	0/2
frames.FitnessFunctionPage	protected void onTop() 	fitnessFunction	B2	0/4
frames.KnownDecisionVariablesSolutionsPage	private void reconstructToLookNice() 	kso	B3	0/4
frames.OutputAlgorithmRunChooserPage	private void constructPage() 	numberOfLines	B1	0/4
frames.OutputIntroPage	private void constructPage() 	numberOfLines	B1	0/4
frames.UserInterface	public ArrayList<objects.DecisionVariable> createDecisionVariableFinalList() 	problem	B4	0/4
frames.AlgorithmsPage	protected boolean areAllDataWellFilled() 	count	B1	0/4
frames.AlgorithmsPage	protected boolean areAllDataWellFilled() 	count	B2	0/3
frames.AlgorithmsPage	protected boolean areAllDataWellFilled() 	count	B3	0/2
frames.UserInterface	public ArrayList<objects.OptimizationCriteria> createOptimizationCriteriaFinalList() 	solutionsAux	B3	0/4
frames.UserInterface	public ArrayList<objects.OptimizationCriteria> createOptimizationCriteriaFinalList() 	solutionsAux	B4	0/3
frames.UserInterface	public ArrayList<objects.OptimizationCriteria> createOptimizationCriteriaFinalList() 	solutionsAux	B5	0/2
frames.UserInterface	public void goToIntroPageAdmin() 	page	B1	0/3
frames.UserInterface	public void goToOutputAlgorithmRunChooserPage(java.lang.String) 	page	B1	0/3
frames.UserInterface	public void goToOutputAlgorithmRunPage(java.lang.String, int) 	page	B1	0/3
frames.UserInterface	public void goToOutputDecisionVariablesKnownSolutionsPage(java.lang.String) 	page	B1	0/3
frames.UserInterface	public void goToOutputOptimizationCriteriaKnownSolutionsPage(java.lang.String) 	page	B1	0/3
frames.frameUtils.GraphGenerator	public static javax.swing.JPanel createAndShowGui(ArrayList<java.lang.Double>, ArrayList<java.lang.String>, java.lang.String) 	graphPanel	B1	0/3
objects.QABlock	public static ArrayList<objects.QABlock> getDefaultFAQ() 	qaBlock1	B1	0/3
objects.QABlock	public static ArrayList<objects.QABlock> getDefaultFAQ() 	qaBlock2	B1	0/3
frames.frameUtils.GraphGenerator	private double getMaxScore() 	maxScoreSolutions	B4	0/3
frames.frameUtils.GraphGenerator	private double getMaxScore() 	maxScoreSolutions	B5	0/2
frames.frameUtils.GraphGenerator	private double getMinScore() 	minScoreSolutions	B4	0/3
frames.frameUtils.GraphGenerator	private double getMinScore() 	minScoreSolutions	B5	0/2
frames.frameUtils.GraphGenerator	private double getMaxScore() 	maxScoreValues	B1	0/3
frames.frameUtils.GraphGenerator	private double getMaxScore() 	maxScoreValues	B2	0/2
frames.frameUtils.GraphGenerator	private double getMinScore() 	minScoreValues	B1	0/3
frames.frameUtils.GraphGenerator	private double getMinScore() 	minScoreValues	B2	0/2
jMetal.JMetalRun.MaximumTime	public void run() 	milliseconds	B3	0/2
